TRAVEL QUOTATION,
,
Inquiry ID,INQ_20250619_102232_demo_002
Date,"June 19, 2025"
Customer Name,Phone: +91 9988776655
Email,priya.sharma@gmail.com
Phone,+91 9988776655
,
TRIP DETAILS,
Destinations,"Kerala, Delhi, Alleppey, Thekkady, Kochi, Munnar"
Number of Travelers,2
Duration,7 nights
Travel Dates,"5th February 2025, 12th February 2025"
Total Budget,"Rs. 1,20,000"
,
SPECIAL REQUIREMENTS,
Requirements,"Spa services, Honeymoon arrangements"
,
SERVICES INCLUDED,
Services,"Accommodation, Meals as specified, Transportation, Sightseeing, Guide services"
,
STATUS,
Inquiry Type,multi_leg
Processing Status,success
Generated At,2025-06-19T10:22:32.312962
